run,it,env,accepted,m,I_zz,mu,cost,res_ncp,res_tol,res_pass,gate,last_cand_res,m_true,I_zz_true,mu_true,rel_m,rel_I,rel_mu,theta_sha256
series_win7_int64_gate,0,0,1,7.953090209443478,0.1143203376465739,0.3772123158389828,1633.5700283004999,7.424783010634428e-12,1e-05,1,residual,7.425476900024819e-12,7.66193324607077,0.12488383317490416,0.43349673090252455,0.03800045680664476,0.08458657345611514,0.1298381534420332,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,1,1,7.72270316734981,0.11671481666494936,0.47761630081032846,1465.4595026263578,1.33845157179735e-11,1e-05,1,residual,1.3371803664341542e-11,7.107985503602176,0.11549221983094739,0.5423598261986978,0.08648268393852346,0.0105859670529457,0.11937374831418664,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,2,0,5.0,0.07021543700739012,0.4,7023.849268054633,6.119485335132069e-10,1e-05,1,residual,0.0006753959617088606,2.4331970156836236,0.034169598356260614,0.43532943072441654,1.0549096385420378,1.0549096385420382,0.08115562199786504,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,3,0,5.0,0.07121769030094853,0.4,3786.292716221997,3.6812851933465396e-09,1e-05,1,residual,1.3333811688692743e-05,3.7467846984055893,0.05336747045507642,0.309522998672487,0.33447753273031816,0.3344775327303181,0.292311077740781,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,4,0,5.0,0.07641667933860062,0.4,6964.183893555742,1.0594856658663332e-09,1e-05,1,residual,3.766080687561679e-05,2.5205070814098667,0.03852175628215398,0.4129453129711349,0.9837278128983507,0.983727812898351,0.03134873448010237,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,5,1,4.036694432289399,0.04786607476637911,0.3482964137456058,1619.9187672674175,9.139814062530949e-07,1e-05,1,residual,9.140582996336466e-07,4.099439817456933,0.050781524716599497,0.3158350441039742,0.015305843715607394,0.05741162689562539,0.10277950546534405,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,6,1,3.5670464140590616,0.044033971261952666,0.3107833121090532,1604.034902114414,3.80740439731575e-08,1e-05,1,residual,3.808681728334484e-08,3.6780588679031005,0.04318808870759348,0.25698606285261066,0.030182348306819855,0.019586015025722978,0.20933917061213117,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,7,0,5.0,0.07889970460455607,0.4,6241.71049572697,1.7145285191588755e-10,1e-05,1,residual,0.00038995882015276095,2.2748718879631347,0.03589734399470002,0.5904684822246389,1.1979259695704796,1.1979259695704794,0.3225718018124068,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,8,1,3.728331270945501,0.05100173074270616,0.33320014730580066,1579.0948976306966,1.9009612306497559e-06,1e-05,1,residual,1.9013109325283217e-06,3.7427791582228913,0.052888921934059634,0.3046354389473463,0.0038602029846319668,0.035682164096790744,0.0937668593554263,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,0,9,1,4.501599511701803,0.058720174039397374,0.469659468635786,1542.2819829668697,6.808099362043407e-10,1e-05,1,residual,6.808861252594056e-10,4.364955469123513,0.057929897248945726,0.4851151432907607,0.03130479647384098,0.013641950495018882,0.0318598066226746,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
