rep,index,scene,n_c,solver,iterations,converged,residual,seconds,normal_gap_m,outside_coulomb_fraction,tangential_relative_deviation_from_exact,solution_sha256
1,8,granular_press_step,441,pgs,400,False,1.4743109398890342e-05,10.965072025894187,0.012910504424716529,0.0,0.9252566357493389,8148f5f3f37e818c4d1c867b3d3651587043f46b3aa3c92eab4620f0424315fe
1,8,granular_press_step,441,admm,1672,True,9.982629306515278e-11,0.7422015010379255,0.013204014972776486,0.0,0.0,7c971c73a21bc7d29135a47e904cfe456c068199aea5324764ca7b77e44f6b0d
1,9,sphere_packing_50,176,apgd,3895,True,9.950401516200386e-11,0.5263481870060787,0.0058443532644211855,0.0,0.38438611201897,be5c46db5e1c430664ac3a33c14be4d484a4aa79902a9e253fa074015c4acc7b
1,9,sphere_packing_50,176,pgs,913,True,9.886788436552774e-11,10.993791998014785,0.0058443532658176275,0.0,0.38438436327141406,a7c963c9f77d3ca159c20fdb9d82e767068ea281c6a05bf88be329597ccbe895
1,9,sphere_packing_50,176,admm,1180,True,9.947796101723421e-11,0.3782555960351601,0.005844240580805913,0.0,0.0,c1c210a96d37581fc70b3ff69abe345ffcdafc41ab29070868ee724d1988288b
1,10,sphere_packing_200,710,apgd,5000,False,3.0115382128152735e-10,1.443004303961061,0.005998695166715773,0.0,0.7010258919482019,67cc19b76bd5014ffba5ed656a4ac65db247feeb082ac65707ce6ee8c489fea8
1,10,sphere_packing_200,710,pgs,250,False,1.3474545710674864e-06,11.921433672076091,0.00599877002925442,0.0,0.7025502082939441,ca1df93d8a80d0f6df3fbac5f6ba871b46972aaffa55b9732e06e7e8e0206435
1,10,sphere_packing_200,710,admm,1398,True,9.938339279140507e-11,1.2336187160108238,0.006096702173731052,0.0,0.0,664d2b35729bef3cff716047b29b13fef2799aee3cc017bff310ee55167cc7c3
1,11,sphere_packing_800,3022,apgd,5000,False,9.46212492039522e-10,4.686912692966871,0.005989463739421061,0.0,0.19038528107012315,d002d876120f4bfdbc6a437064ffed980bfd8f83122d096145ce79d36ef6f6cd
1,11,sphere_packing_800,3022,pgs,60,False,3.31565571060591e-05,12.10398494405672,0.005989166080017915,0.0,0.47102756995027256,1f0e79a0704d706262e3b7895ed6eec1c9ef1a33a60d8d5c0b2f77518c954d18
1,11,sphere_packing_800,3022,admm,1499,True,9.985446237231743e-11,11.473157551023178,0.005989526298230912,0.0,0.0,d3ce81a5d1c0ae5caacd9b5c8fdd72c5b000033d5f3eb67754f046c393737ada
1,12,dense_random_contact_operator_256,256,apgd,1221,True,9.77515152156272e-11,0.9869771070079878,1.3509724797189371e-10,0.0,2.876656713837487,ae71b9ec1d805f42f44ba2cf914199038f2962a49aea8e11136e68547602ccb5
1,12,dense_random_contact_operator_256,256,pgs,550,False,6.7158800005628905e-06,10.509811996947974,4.0585041714802374e-05,0.0,2.3519226909092326,a2cc737b836b7119ad7bb69ec6a3e665f97cc4eed9bb8305fa354156a19ebaec
1,12,dense_random_contact_operator_256,256,admm,1105,True,9.991044970514285e-11,1.527302465052344,0.023702844425986188,0.0,0.0,a6fadcca099ce3668bff1c83b2c197a3f82b0fbf570b790c15b3ff7366c745df
1,13,heavy_top_column_tangential_drive,3,apgd,5000,False,0.07635563843200543,0.4323890410596505,0.0008333580174100537,0.0,0.20011375217098737,16f34fd0bb5c7c2d7872fadc3b281c6880ca4d308b65f5d5b259d1a9e093e3a3
1,13,heavy_top_column_tangential_drive,3,pgs,5000,False,0.008146335342189559,1.4067518969532102,0.0008333333333335228,0.0,0.1918455102949695,9186f0065e6abbd32df2787d7f6eee3e7048b1a7c5eecacd5dad4857e95e9556
1,13,heavy_top_column_tangential_drive,3,admm,3282,True,9.958966984413564e-11,0.3512542590033263,0.0,0.0,0.0,203e648bb371801bb42c0ec787a0b15da06d85dd5a2eb5fdbedfb474b2f50170
1,14,stacked_mass_pairs_cone,8,apgd,5000,False,0.4616320988704956,0.4477184540592134,0.0008334576305060598,0.0,472.67054748343634,4417b126138ce35fa7c317d518c62c30e065f20ad1bcba1855e8582438900a97
1,14,stacked_mass_pairs_cone,8,pgs,5000,False,0.04037576716245894,3.2764893700368702,0.0008314102310960215,0.0,316.7726427843423,3bc8f7cf0875e434638bb9a284c9feae35361aa9c8988e631c4e4d4da84b624b
1,14,stacked_mass_pairs_cone,8,admm,4813,True,9.965783753784763e-11,0.5322508220560849,0.0,0.0,0.0,e1cfa38df2338b0f82fbd63568e02e94d1291cebc0b7e8a58f1bc9211741d780
1,15,quadruped_sticking_stance,4,apgd,468,True,9.738644612955483e-11,0.03045438800472766,2.2666450892142957e-12,0.0,2.8209265500535595e-07,a1c7391731940e13f306d81a4d75f59146b53c4563a8d2a527a4e9c1c486214f
1,15,quadruped_sticking_stance,4,pgs,2490,True,9.983275317537732e-11,0.8245720649138093,2.2811823321515026e-12,0.0,3.7149571209693103e-07,e95b2a38d00a3285747519cbb63172f6c060c0779270c9a0f6ed945b2f938669
1,15,quadruped_sticking_stance,4,admm,2,True,2.0595525285216354e-11,0.0010161320678889751,0.0,0.0,0.0,2b692ba16181dc5e393ab9a4bf1df70c205cc98e91a8ee938e92daac4a20f4a3
1,16,quadruped_sliding_stance,4,apgd,817,True,2.7827462556473392e-11,0.07017232093494385,5.286511294966643e-06,0.0,0.5613695100553161,6aa821c9b248211d9e259968cd4ff8a8420a874e420f07761b80b781a7b5f473
1,16,quadruped_sliding_stance,4,pgs,1341,True,9.98430227383551e-11,0.4656941229477525,5.2865073716817115e-06,0.0,0.5613695359212845,7672924836974ebf54dc44c1b9fd264c0a4489e0647b96f05f85a7d209b21444
1,16,quadruped_sliding_stance,4,admm,807,True,8.900271708869867e-11,0.0860123949823901,2.582387891488421e-12,0.0,0.0,41dfd6e37e37cbb351fa5735a7c50d30d8dad6c4a4ba3d9533e40ec992eca836
1,17,humanoid,2,apgd,229,True,6.667943974747459e-11,0.015469496021978557,0.0,0.0,5.721970484657538e-10,eb4091d3ea77285ef77a89a1aa8a042111ffbcea4f2fc43435ff5be87fbe4687
1,17,humanoid,2,pgs,198,True,9.809753009903943e-11,0.038329811999574304,0.0,0.0,4.496798769541997e-10,dfc32abc3774d1093f4af108b79d489f64d4998ba59d21d233070c1af95ddbaa
1,17,humanoid,2,admm,3,True,6.56226184503339e-11,0.0010416579898446798,0.0,0.0,0.0,88cfef57113352112c0b4931449f2cb04bea22a964806f24ba0537e60bcd3a05
1,18,quadruped_unloading_probe,4,apgd,402,True,6.565957499926611e-11,0.041187267983332276,8.001231629061912e-05,0.0,0.4690058044879099,f319923498769833b4aa55f7ce0eb3c7509574fc04edbc56f1ca0239ed745d9a
1,18,quadruped_unloading_probe,4,pgs,418,True,9.71319136233717e-11,0.16203859308734536,8.001230961812639e-05,0.0,0.46900577975205215,6324155bf3407af420412970518976dc5a0bf93395e50023a4125b83a1041517
1,18,quadruped_unloading_probe,4,admm,92,True,2.4037744884852774e-11,0.010728394030593336,0.0,0.0,0.0,05dd2f1efd3837c7686ffb2f15a8f40d0512ac5e8c0f28c9b84daf1983dbcd6f
1,19,batched_quadruped_sticking,4,apgd,842,True,7.506481547459032e-11,0.07137374195735902,3.7333746906348038e-06,0.0,0.02208069475708012,7414e9a368b7bc6805404b223aad1ff7e53a2847181012240e267223daf14376
1,19,batched_quadruped_sticking,4,pgs,1310,True,9.851050530862437e-11,0.45246352697722614,3.733367730769076e-06,0.0,0.022080720849491853,39ad300346071719f9fe81d9f59579ec0e0cf2f936e4b27246cee3732ad52287
1,19,batched_quadruped_sticking,4,admm,278,True,9.28546154896348e-11,0.02996229601558298,2.2853891811410363e-13,0.0,0.0,8ea0c375b1ed25437655ae82de464ee99d90366b4e1be992992211b52f6e948d
1,20,batched_quadruped_sliding,4,apgd,818,True,3.6883551768340794e-12,0.06997878896072507,1.223284581378644e-05,0.0,0.41865862292776446,25a6ac026f5a7491efed39f684dcbc25f1cbc7bc628810258d5635cbef25fd9f
1,20,batched_quadruped_sliding,4,pgs,1146,True,9.879524975886511e-11,0.40516268101055175,1.2232840701168184e-05,0.0,0.41865866162081405,150f0ff41e270cb28b81b04b94a5d3307a875c3086733b0dddb975a4341e8813
1,20,batched_quadruped_sliding,4,admm,311,True,6.128820367878873e-11,0.03385993093252182,0.0,0.0,0.0,161cbfbcb98cebf108ad03c2412bbb86ea9fca0247128dc0310da3d6adc4bf14
2,0,cube,4,apgd,101,True,6.430267429635705e-11,0.009103568037971854,3.270000013661263e-05,0.0,0.1999999999539754,bea456d55743779724c8eafef35c5156b67c9b72e2b70292f93e2a1c749ffa21
2,0,cube,4,pgs,53,True,8.949960858208269e-11,0.02096265007276088,3.2700000028560666e-05,0.0,0.22879954045112225,e366761f5ae3ff3a7ef430a5542b9cb37714b9d01a3eb99d68cfe45cdbd0d493
2,0,cube,4,admm,70,True,7.450456918078885e-11,0.008404579013586044,1.4228308924576124e-13,0.0,0.0,5f8e6f097df1902cb6e3767ffa5045f578dda44d3af4c4a6981bbd0ec0e12b89
2,1,eight_box_tower,32,apgd,2562,True,9.777877119088174e-11,0.18259478791151196,2.2407636510179963e-12,0.0,0.9999758676299925,4df134808cfb6a7f4b676de5e18b7ad4048b2d3390e67ab336a91876c716ddf5
2,1,eight_box_tower,32,pgs,4500,False,2.519047192783841e-06,10.66422400099691,5.77281648346586e-08,0.0,692017428.063719,c7ecf5ff525c19f2b79e19b6d9fa6d8387a656d3a87438f7999a88bdd4e2feba
2,1,eight_box_tower,32,admm,2,True,4.951733467706276e-13,0.001721763052046299,0.0,0.0,0.0,1a8605f9dd74270391d58cc96d211d2e8ed3c716f72d9727ea589d53ae6a86c2
2,2,three_body_column_normal,3,apgd,5000,False,0.06362969869360313,0.3262244579382241,2.6512374455648726e-07,0.0,0.0,7e8ab33b605c6e7fd9f1018c12cfc64d12aeec248b867e922a7ac2d1491ef464
2,2,three_body_column_normal,3,pgs,5000,False,0.006788612785044279,1.2987549060489982,0.0,0.0,0.0,db775663938be0f46e0b87a3b202bd32b19731217ee8777214a14d8f21e68905
2,2,three_body_column_normal,3,admm,5,True,2.2737367544323206e-13,0.0012587669771164656,4.736951571734001e-16,0.0,0.0,f6e92a16e95866731bbf862a78658f857e404bb8b6349bb10c4c8fa12fc01411
2,3,three_body_column_tangential_drive,3,apgd,5000,False,0.05286465984227107,0.43326834100298584,0.0004161165713958526,0.0,0.19985703964379561,a5013eec08ee6a6430aa3493ec3b4f0254047b0092f33e4904a0ee6106b4b1de
2,3,three_body_column_tangential_drive,3,pgs,5000,False,0.006785139130442985,1.4404806290986016,0.0004160327460099496,0.0,0.19078041814627456,8408d03e5df1de368a2dc2f36e267ca995664530830f24321c590101c81fc62e
2,3,three_body_column_tangential_drive,3,admm,198,True,8.446932042716071e-11,0.022108657052740455,4.736951571734001e-16,0.0,0.0,14e5518c0fd69a30f1104f56938046e7aa602d1c4d689727dc46c52fc3203fac
2,4,three_body_column_separating,3,apgd,5000,False,0.00017463732575606628,0.3186714069452137,0.00041697942958068184,0.0,0.0,5fdcc93c88eb280dd1927cc52726c916f86042531fcb7d4f59dfe3b786a1ff4a
