scene_group,T_s,mean_rel_poly
planar-scene-1,0.05,2.9946483182727044
planar-scene-2,0.05,5.944444445183127
planar-scene-3,0.05,4.325789083372658
planar-scene-1,0.2,0.7289436800179478
planar-scene-2,0.2,1.0291794089824091
planar-scene-3,0.2,1.0687038747384514
planar-scene-1,1.0,0.1993501529742212
planar-scene-2,1.0,0.2630606525298668
planar-scene-3,1.0,0.2586279919369103
planar-scene-1,5.0,0.06542537382958212
planar-scene-2,5.0,0.08148572896315205
planar-scene-3,5.0,0.07779309390226918
planar-scene-1,20.0,0.024146279365769244
planar-scene-2,20.0,0.03051732936547773
planar-scene-3,20.0,0.027275455652019026
