quantity,value
A_sp_m_cert_S0,-0.7441782497546112
A_sp_m_cert_u101,-0.6708438873158648
A_sp_m_min,-0.46947666968258667
B_sp_m_cert_S0,-0.4429809444018097
B_sp_m_cert_u101,-0.43838793659530517
B_sp_m_min,-0.5359351885982985
