quantity,value
cold_norm_min,0.25196449620025735
cold_norm_max,0.30507617057436
rand_min_min,0.1357005175387525
rand_max_max,0.32717627384132525
lp_norm_min,0.3317030171717256
lp_norm_max,0.372865768655882
n_cases,9
