height_m,angle_deg,P0,P1,P2
0.0,0.0,5.829631946506244,5.683166967841093,1.4656638187672266
0.0,30.0,5.794114009163383,5.623734529273328,1.4313067140214726
0.0,60.0,4.423833168141852,3.9693301644319066,1.3237155566567742
0.0,90.0,3.4280213326337403,3.075827673125551,1.259220375028856
0.0,120.0,3.5814791639804344,3.2135193029595817,1.282425242320753
0.0,150.0,5.196992057584232,4.67563511927187,1.3795130485798948
0.1,0.0,5.829631946506244,5.682857435244608,1.433491984175591
0.1,30.0,5.794114009163383,5.6228503824829525,1.3998890299225444
0.1,60.0,4.423833168141852,3.9668932175238014,1.29465953617683
0.1,90.0,3.4280213326337403,3.07393928680958,1.2315800463937157
0.1,120.0,3.5814791639804344,3.2115463816760856,1.2542755587144958
0.1,150.0,5.196992057584232,4.672800885304859,1.349232253593471
0.2,0.0,5.829631946506244,5.682542916754879,1.401049104721775
0.2,30.0,5.794114009163383,5.6219568166809815,1.3682066546127494
0.2,60.0,4.423833168141852,3.9644358765969137,1.2653587212934094
0.2,90.0,3.4280213326337403,3.072035097100705,1.2037068504339326
0.2,120.0,3.5814791639804344,3.2095569496762653,1.2258887165132133
0.2,150.0,5.196992057584232,4.6699062611766,1.3186963455872975
0.35,0.0,5.829631946506244,5.682062074987596,1.3518690041609285
0.35,30.0,5.794114009163383,5.62060214088252,1.3201794008669694
0.35,60.0,4.423833168141852,3.96071107276423,1.220941670563608
0.35,90.0,3.4280213326337403,3.0691487525825396,1.1614539245726176
0.35,120.0,3.5814791639804344,3.2065413957823834,1.1828571552711087
0.35,150.0,5.196992057584232,4.66551862943104,1.2724070194934685
