scene,n_contacts,max_relative_residual,polygon_error_soc_pct
S1,4,2.908209250535207e-15,0.9700556994879544
S2,8,3.0722702533668896e-15,0.9700556535897689
S3,8,1.499866223035558e-12,0.9700556931214809
