run,it,env,accepted,m,I_zz,mu,cost,res_ncp,res_tol,res_pass,gate,last_cand_res,m_true,I_zz_true,mu_true,rel_m,rel_I,rel_mu,theta_sha256
series_std_int64_p0,0,0,1,9.617524041172347,0.004897501029174328,0.27165969224052244,5192.620977805,0.01906597881327512,1e-05,0,cost,0.01906597881327512,7.66193324607077,0.12488383317490416,0.43349673090252455,0.2552346427847635,0.9607835465595037,0.37332931744390147,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,1,1,10.28128518999785,0.009230880441858172,0.3179798092272278,2782.4040449033537,1.3494282889436882e-06,1e-05,1,cost,1.3494282889436882e-06,7.107985503602176,0.11549221983094739,0.5423598261986978,0.4464414966501428,0.9200735733076224,0.413710614490216,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,2,1,2.490480972436548,0.07913222615034207,0.40417980195150505,1664.6375228082377,5.2904532699127316e-09,1e-05,1,cost,6.30219164354795e-09,2.4331970156836236,0.034169598356260614,0.43532943072441654,0.023542670973081926,1.3158664414281396,0.07155415318710817,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,3,1,4.241086354492319,0.1161460440585726,0.28936939623674746,1503.485984365684,4.501292394376577e-11,1e-05,1,cost,4.490560701064794e-11,3.7467846984055893,0.05336747045507642,0.309522998672487,0.13192689088782591,1.1763453105078647,0.06511180921022451,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,4,1,3.0502270335261645,0.1649154501940916,0.34324049087002395,1560.5493190649702,3.228670386601351e-10,1e-05,1,cost,3.1657593213552104e-10,2.5205070814098667,0.03852175628215398,0.4129453129711349,0.21016404041205652,3.2810989453897816,0.16879916035270112,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,5,1,3.817784425177617,0.017153631821958844,0.3413022715032611,1617.6404699044467,1.515619438285931e-08,1e-05,1,cost,1.515619438285931e-08,4.099439817456933,0.050781524716599497,0.3158350441039742,0.06870582441042859,0.6622072315140303,0.08063458401691151,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,6,1,4.0483906975253,0.11918442419422862,0.24632294604730157,1612.6424283992428,5.4310597685791606e-11,1e-05,1,cost,5.4282661698934476e-11,3.6780588679031005,0.04318808870759348,0.25698606285261066,0.10068675976176791,1.7596596135839924,0.04149297703908838,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,7,1,2.337097486488331,0.2648210302294151,0.485265085026349,1699.931488783325,5.500550209758259e-09,1e-05,1,cost,5.751149709243286e-09,2.2748718879631347,0.03589734399470002,0.5904684822246389,0.02735345179411908,6.377176157336709,0.17816936951812798,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,8,1,3.9704391234452006,0.017423128762055984,0.3035379324342178,1586.730183452535,1.1837584371066079e-08,1e-05,1,cost,1.4446687568447913e-08,3.7427791582228913,0.052888921934059634,0.3046354389473463,0.06082644890285337,0.6705713006633293,0.003602688239165125,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,9,1,4.0239295738885374,0.01797836705513363,0.5068680494133142,1553.738444571903,3.1840831610230325e-08,1e-05,1,cost,3.1840831610230325e-08,4.364955469123513,0.057929897248945726,0.4851151432907607,0.07812814990835486,0.6896530477540107,0.04484070724940361,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,10,1,2.8171773367156656,0.08134860091863351,0.42145621291572344,1605.4553149358053,1.302087659915685e-09,1e-05,1,cost,1.2047389752467552e-09,2.929401115705847,0.046731200462293905,0.42512215510687656,0.038309461407828,0.7407770421877224,0.008623267799890366,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,11,1,2.115155644097679,0.1307092355817135,0.39899108447562637,1504.3497417383855,3.95076227982516e-09,1e-05,1,cost,3.885303981321364e-09,2.1409405384403595,0.03492888069643343,0.4318337315367098,0.01204372278431632,2.7421535696407284,0.07605391765995356,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,12,1,4.312358862441981,0.1502514250234443,0.25434275463413136,1610.1900907943136,4.014974464006116e-11,1e-05,1,cost,3.996127040384323e-11,3.475443148520294,0.045625172275191035,0.3009554993155038,0.24080834534094223,2.2931694836612033,0.15488251514721924,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,13,1,4.588293033808369,0.10427498466602014,0.4176333436106682,1580.3476145880063,6.102665595086876e-11,1e-05,1,cost,6.083791803668248e-11,4.383492317785077,0.0620392302928347,0.4316979388115358,0.04672090223412895,0.6807910764499525,0.0325797135830378,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,14,1,5.025684807217895,0.2787946781337773,0.5324756630028377,1683.0173840322602,3.7880032444093104e-11,1e-05,1,cost,3.715661112124735e-11,4.535533312461739,0.08338125294791263,0.5857839200417314,0.1080692084014521,2.343613441596246,0.0910032781970117,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,15,1,11.159325812402976,0.031179038692726507,0.27424070880227003,4041.7443320051248,5.760015076017311e-09,1e-05,1,cost,5.760015076017311e-09,7.585962161890749,0.1114323971417409,0.54394349399187,0.47104949566761223,0.7201977208381591,0.4958286810461071,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,16,0,5.0,0.07895028105776501,0.4,3657.764673007757,3.666647541145096e-11,1e-05,1,cost,0.018446402965750782,5.998593002273881,0.09471812069613306,0.4953306142413841,0.16647120448000813,0.16647120448000802,0.1924585549540203,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,17,0,5.0,0.08404978108925076,0.4,4701.925032044459,2.991687453324232e-11,1e-05,1,cost,0.015710520933630453,5.398943265384813,0.09075599991377564,0.57682677328866,0.07389284268694346,0.07389284268694347,0.3065509117763697,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,18,1,3.950369626621722,0.20616456813817324,0.4489375368260333,1570.4049972035045,1.1335954397395653e-10,1e-05,1,cost,1.1258771692723712e-10,3.6592076967429334,0.0606610821392251,0.49343191961710314,0.07956966480420122,2.398629910112692,0.09017329650176846,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,19,1,2.7969528268229835,0.2282180596575475,0.33192785533512187,1641.9643261541996,4.3588170572927964e-10,1e-05,1,cost,4.274689352490313e-10,2.1590212139213847,0.03237531783345167,0.4086344011008533,0.29547260063412584,6.049137272769631,0.18771436168635205,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,20,1,3.8567928317303184,0.2946863907790508,0.23349237986741325,1740.9130219212395,6.95669216677075e-11,1e-05,1,cost,6.920099215879105e-11,3.6644685576993385,0.06136582590169716,0.209893140687058,0.05248353779073676,3.802125392251925,0.11243454218230382,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,21,1,3.9205819542502125,0.03750521822881184,0.26340478678326007,1663.863642453825,8.578360938260587e-11,1e-05,1,cost,8.578360938260587e-11,3.675221613216589,0.046683339239795896,0.25811531087967005,0.06676069278415069,0.19660378114425958,0.020492685558106655,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,22,1,4.91165882769201,0.09612721274139234,0.5248432090299928,1558.5958163968614,3.0635272096901645e-11,1e-05,1,cost,3.042849305856521e-11,4.421338129135401,0.06852576236123241,0.5722617444775282,0.11089871080556613,0.40278939524465773,0.08286162041257579,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,23,1,9.408740854664565,0.024529844685269274,0.37716028136983304,2097.3530777606397,3.1984675741281166e-08,1e-05,1,cost,3.1984675741281166e-08,7.73023253893694,0.1192343056297217,0.5000887863655867,0.2171355528146185,0.7942719206882798,0.24581336024177033,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,24,0,5.0,0.07048491331172686,0.4,1699.5785182079449,3.3944985711187314e-11,1e-05,1,cost,9.02115326884001e-11,7.237675172340762,0.10202938142017527,0.29023368046485143,0.3091704337453801,0.30917043374538006,0.3781997987254335,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,25,1,4.449416142850661,0.07013050503676417,0.34818086825608513,1558.6363230529698,4.460584679399915e-11,1e-05,1,cost,4.4599657300636864e-11,4.533736892920887,0.06767662983472793,0.348564425746158,0.01859850980807607,0.03625882683621827,0.001100391955523814,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,26,1,3.6889897863001875,0.03920979648566433,0.3508249787632225,1691.6714472721503,1.6358603360799862e-10,1e-05,1,cost,1.6358603360799862e-10,3.708532750824764,0.04748422547072194,0.34752425592775865,0.005269729523146403,0.17425637468088206,0.009497820020223216,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,27,0,5.0,0.07523393997702402,0.4,3069.4347935234846,3.484362798289453e-11,1e-05,1,cost,0.03900047580476891,7.323464506618292,0.11019461782295727,0.3847915976505124,0.31726302551457064,0.31726302551457064,0.03952373815423244,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
series_std_int64_p0,0,28,1,4.051869117652761,0.009711099637455575,0.30158695508732036,1510.9139679191749,4.824010738230244e-07,1e-05,1,cost,1.078482642288825e-06,3.9880361962916817,0.07454770539293268,0.29364715778878797,0.016006103811303234,0.869733084522596,0.027038563418493092,530fc9a2b848ee853295e5ad7020b40ddfbb83b4922a4775dcb7c647e702f476
