run,it,state,cost_sum,cost_p50,res_max,res_p95,grad_norm,H_sha256,digest,n_slip,res_pass,ms_forward,ms_adjoint,ms_total,chunk,n_calls,n_iter,cg,grad_cg,theta_sha256
series_std_f32_p1,0,accepted,277035.76640306786,1662.5901793828834,0.027268321784347654,0.00013502087417544288,13795.271965220294,e654b56379177fd244d261850608c273a56eaceab9d0376adf3c918121fc7c2c,277fbe416124c73b9a7cbb350ae15a126940d687edece1822e7e317ce0954b67,-1,0,1109.0619190363213,1049.782873946242,2205.123482970521,1024,7,300,4,60,9b4c9f04a26d035c0b96f8140e07ce8bc50d82027ed566d0da3cba528bd2369c
series_std_f32_p1,1,prev_theta,276646.39536299976,1662.590167289541,0.03745648990740518,0.0001370370303424489,14725.071652244267,3f9e966e2aa929b27ad71af3edd4177c02a3fc0c36ecf6b1822620fcfb6a6031,d1f811483b22306933cbb5beacf13ed98ce3ac0d23b5c881744289bb17535557,-1,0,1089.6449700230733,1046.1736370343715,2172.0054079778492,1024,7,300,4,60,9b4c9f04a26d035c0b96f8140e07ce8bc50d82027ed566d0da3cba528bd2369c
series_std_f32_p1,1,accepted,217646.91559927195,1628.8767867516503,0.03192823836923694,0.0007337275762926555,11581.863772420846,40b13a640aa00ac253b54c4840c0bb3dfe88f797531a9e7c8ddffa2a1f61d045,4a3c785f93cdb04a60ee96a865848108f765e6e2cc239e39a007f4341f84e883,-1,0,1101.651556091383,1049.5068179443479,2187.519946019165,1024,7,300,4,60,64c6d0aa1a32a71e0170fb315b7e305a94f2463a8dfcfd5b929f5c0169746b34
series_std_f32_p1,2,prev_theta,217503.56758215447,1628.8767974025463,0.03473534059413096,0.000787353167861742,9613.371635513999,0bb813d92e1f98eb23e6f8b1f4bd3e0db4a430818b3d8be764a9eb8c9dd3f1d5,ac28901f356dcafabf8271ded131dae700e8b5b49f6fc67e93abb16c7d3da16d,-1,0,1097.482339013368,1049.8427100246772,2182.2997570270672,1024,7,300,4,60,64c6d0aa1a32a71e0170fb315b7e305a94f2463a8dfcfd5b929f5c0169746b34
series_std_f32_p1,2,accepted,213994.36352781806,1608.6778671763745,0.025695460456914086,0.0003568305554928477,5926.097170749171,45fa8cf67a487c8506b5867a295f5475d9272e5e22253d1de7a5af7d1f85fbb6,6d58710d1500a8d976594ddcef676a60c31622efa0ea8434c0da32595853f401,-1,0,1094.7648130822927,1049.1276159882545,2180.0474339397624,1024,7,300,4,60,45d19c03b68c861783b078a3d45ee82fca68d959c9f93dcb2001615269b97ea7
series_std_f32_p1,3,prev_theta,214115.04641159176,1608.6778514618347,0.03668215370747793,0.00036327559216028926,9303.242934843192,764218857e6752431084c9fb2aa345eb70404aa8ffefb93068091ea806f66aa5,64014329145650b96937db699771b8c33f775a0b64dc80de35db3318c7783f43,-1,0,1096.9947089906782,1051.0657959384844,2195.8257399965078,1024,7,300,4,60,45d19c03b68c861783b078a3d45ee82fca68d959c9f93dcb2001615269b97ea7
series_std_f32_p1,3,accepted,213696.6021688468,1607.9405462465174,0.027596286914123774,0.0006265160159813806,6740.977042816969,b2b3ade92c8006304696b082489b9881a2fcd9842af700f91dd3c79f3fa81faf,f93c2e6b5e8f3d20f08e2a541c89922cd7b31beade2146e368616e6d6b1eca27,-1,0,1099.9772819923237,1050.3003949997947,2197.6262379903346,1024,7,300,4,60,91a94c8c583753b241d4338d54c1139519471ab580a8a30aa6571f2718150de2
series_std_int64_gate,0,initial,477544.08483498334,2912.5321056738394,4.5140086113448774e-11,3.625339750623623e-11,9145.419118717055,5f82cebf719ada2a47d0a4f4f4f5b653c9913e956055754236dd615c90b9d7e3,eaac3cbb9f3ca157c2c9cdc0ad1fc2258ca8a1c4126c0e2ba8335d3e912e6f32,-1,1,1549.9249059939757,1303.6205739481375,2906.3460329780355,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_int64_gate,0,prev_theta,477544.08483498334,2912.5321056738394,4.5140086113448774e-11,3.625339750623623e-11,9145.419118717055,5f82cebf719ada2a47d0a4f4f4f5b653c9913e956055754236dd615c90b9d7e3,eaac3cbb9f3ca157c2c9cdc0ad1fc2258ca8a1c4126c0e2ba8335d3e912e6f32,-1,1,1121.2029259186238,1055.138210998848,2228.078181971796,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_int64_gate,0,accepted,276820.3566848477,1655.8810044408242,1.3494282889436882e-06,1.820757129039616e-07,3460.248321390057,423c4eb7a9f313e941456ab2adac75bc9cc1b2e40771f422834f0f60da66dfd7,40872cacc61f76b7facf657ae1ba8e3899a2d51d3de61a6d931785833167927d,-1,1,1104.8210770823061,1058.9772970415652,2211.27205202356,1024,7,300,4,60,dd1d0a3738d662c9f72ba6faf044645891e8e21f26396c2899071185104bf2eb
