run,acc,gate,sim,B,iters,nit,res_tol,wall_s,theta_sha256,m_p50,m_p95,m_max,I_p50,I_p95,I_max,mu_p50,mu_p95,mu_max,accepted_last,res_acc_max_last,gate_pass_last,res_lastcand_max_last,cost_last
series_std_f32_p0,f32,cost,identification_sim_B512.npz,128,4,300,1e-05,33.63,0447a72a278d3dfc50cb89aea4650f841813932867f4f66954be5fada30d1572,0.04973666757756315,0.23023487798803846,0.6307966487151396,0.7660855469673722,6.7621822593338985,117.88161105253184,0.045983867257252786,0.21693394131854474,0.9873553968001205,111,0.036443256325755055,124,0.08452974459423143,212996.91002647544
series_std_f32_p1,f32,cost,identification_sim_B512.npz,128,4,300,1e-05,33.73,91a94c8c583753b241d4338d54c1139519471ab580a8a30aa6571f2718150de2,0.04973536544668253,0.22236021768522482,0.4768462077752088,0.7831493419682816,6.761844362450887,117.88161105253184,0.04598486079103382,0.19628043741297105,0.5760998406575423,113,0.027596286914123774,121,0.04083131422110414,213696.6021688468
series_std_int64_gate,int64,residual,identification_sim_B512.npz,128,4,300,1e-05,33.96,e0f6be370effa7039033bfe70193015364c145f6be9f1d9edd8e74ab763e6c97,0.04727611875983202,0.18548863149303596,0.47199571157336284,0.7406718545417035,6.762004336865614,117.88161105253184,0.04309767301662712,0.18324343986779734,0.5761015132463668,118,2.3713824671145467e-06,128,0.04429583210161664,204942.67142713213
series_std_int64_p0,int64,cost,identification_sim_B512.npz,128,4,300,1e-05,34.81,4e746550280c46a29e2fe1f87b4cb166ced2924c2efa66d38f4a023e6ee72403,0.04859230559634574,0.21030088278084197,0.8059200806082564,0.7753840275780748,6.762004336865614,117.88161105253184,0.044120262079611804,0.19467200502850643,0.5761015132463668,116,0.020014471769410007,121,0.03069903380770485,213249.97615533782
series_std_int64_p1,int64,cost,identification_sim_B512.npz,128,4,300,1e-05,34.38,4e746550280c46a29e2fe1f87b4cb166ced2924c2efa66d38f4a023e6ee72403,0.04859230559634574,0.21030088278084197,0.8059200806082564,0.7753840275780748,6.762004336865614,117.88161105253184,0.044120262079611804,0.19467200502850643,0.5761015132463668,116,0.020014471769410007,121,0.03069903380770485,213249.97615533782
series_win7_int64_gate,int64,residual,identification_sim_win7_B512.npz,128,4,300,1e-05,37.15,c2b60e022e6d2eed5bdcb94260ddba3cc0674b0f1a72c572c87f6c0a49815829,0.01505224307962165,0.06296401219860093,0.15673471495276417,0.038900320941781405,0.28166813036205735,0.5497217997329112,0.02767713483936495,0.18414456819245675,0.26095146024999805,120,9.931127027809628e-06,128,0.01252286160064961,205250.31196479348
series_win7_int64_p0,int64,cost,identification_sim_win7_B512.npz,128,4,300,1e-05,32.29,b7eb521442b479c37e7acefb5f86cc5a26211bc7dd1386b79f3fc0c78aa30812,0.013309927110567638,0.04204606283355476,0.07465094499662739,0.03489488993372692,0.12067231165391451,0.2667768614511533,0.025610603242331983,0.0896681593717469,0.11134381822698702,111,0.016114821798228762,107,0.016114821794434867,204845.81407449415
series_win7_int64_p1,int64,cost,identification_sim_win7_B512.npz,128,4,300,1e-05,32.25,b7eb521442b479c37e7acefb5f86cc5a26211bc7dd1386b79f3fc0c78aa30812,0.013309927110567638,0.04204606283355476,0.07465094499662739,0.03489488993372692,0.12067231165391451,0.2667768614511533,0.025610603242331983,0.0896681593717469,0.11134381822698702,111,0.016114821798228762,107,0.016114821794434867,204845.81407449415
