run,it,env,label,logged_res,state_res,g_adj,cost,gfd_h0.0001,fd_rel_err_h0.0001,gfd_h1e-05,fd_rel_err_h1e-05,gfd_h1e-06,fd_rel_err_h1e-06
series_std_int64_p0,3,27,converged_min_res,5.379585665821196e-13,5.379585665821196e-13,"[-6.135277254964769, -15.128072473043794, -157.15640534359477]",1654.211803366412,"[-12.270560421492538, -30.25614268037948, -314.3127775916425]",1.0529493526131004e-07,"[-12.270554101736302, -30.256150448962643, -314.3128029428421]",2.463898122863097e-08,"[-12.270563787961946, -30.256072044372345, -314.3128635806041]",2.3194000614527027e-07
series_std_int64_p0,3,0,nonconverged_max_res,0.020014471769410007,0.020014471769410007,"[-383.4438235045291, 620.6181538890595, -15037.79365334801]",5054.326514918462,"[63455.9716564356, -246740670.93360376, 7183777.577519124]",8204.059646575115,"[-353458.8521241615, 5901505280.550241, -73830427.67957248]",196222.4038763833,"[-2942202.3993904926, -28442247466.292427, 281315422.1779979]",945692.2126736445
