run,it,env,label,logged_res,state_res,g_adj,cost,gfd_h0.0001,fd_rel_err_h0.0001,gfd_h1e-05,fd_rel_err_h1e-05,gfd_h1e-06,fd_rel_err_h1e-06
series_win7_int64_p0,3,27,converged_min_res,4.622189783698438e-12,4.622189783698438e-12,"[-0.000577609843096405, 0.009796166703555542, 0.028419472034324045]",1649.405231605912,"[-0.0011687686757982955, 0.019523100862844932, 0.056931684124780606]",0.0016316287653146402,"[-0.001157126874007228, 0.019563202332815065, 0.05682071549099247]",0.0005125196249394684,"[-0.0011477860937051973, 0.020358506357777053, 0.056894850513796724]",0.013479718232284745
series_win7_int64_p0,3,116,nonconverged_max_res,0.016114821798228762,0.016114821798228762,"[-0.02560772331863337, -0.743309210736232, -0.07106887101638115]",1629.9552107910781,"[32.92788001355072, -3524.407343097972, -115.29626760409533]",2369.7545205898373,"[32.803849185262905, -3490.334759594078, -114.76913824365715]",2346.834998665613,"[31.146158945660364, -3496.260859380136, -110.56875281655992]",2350.8212938039364
