N,block_setup_s,block_solve_s,bw_offblock_nonzero,chol_setup_s,chol_solve_s,max_abs_tri_minus_chol,n,nnz,rel_res_tri,rho,sha256_tri
8,0.00011336803436279297,0.00010305200703442097,True,3.0803028494119644e-05,4.778103902935982e-05,9.237055564881302e-14,48,220,2.0221303560715353e-15,0.05000000000000002,3d2b057ca12c7a1af43d1e7bf259e2149dcbb543fb65480c7f9c34556acc9ec9
16,0.00017305603250861168,0.00020122795831412077,True,4.404399078339338e-05,0.00011491996701806784,9.947598300641403e-14,96,460,2.426908198812929e-15,0.050000000000000044,93b66816bbb5edf5f8c28b6a9842d90782716dacfd10675ef42b686fdab6a460
32,0.0003378998953849077,0.00038483995012938976,True,0.0003449980868026614,0.0004485069075599313,1.1013412404281553e-13,192,940,2.463065355813895e-15,0.050000000000000044,ac13696d4636c2034af157a51987edf766b4705665f9c75094270928a14788a6
64,0.000741741037927568,0.0007908580591902137,True,0.001553621026687324,0.002539701061323285,6.750155989720952e-14,384,1896,2.421068971078478e-15,0.050000000000000315,f9183af21a7f13f12a6422af1f7397d6062d7845b37cf28020d3ee655b4ae17b
128,0.0014308979734778404,0.0020472389878705144,True,0.007906841114163399,0.01713953400030732,7.105427357601002e-14,768,3818,2.1487364385895575e-15,0.05000000000000084,741a3fcca6988292980bb7242ea09e0035b768df2e55d3d505d6a12aef989dd7
256,0.0027981330640614033,0.002988907042890787,True,0.04882509191520512,0.11871760303620249,7.460698725481052e-14,1536,7646,2.2589478817672036e-15,0.05000000000000084,f826550bcae7828c8467109969222d7cfeebf16f9e5112ebd131f86475cd0a78
