run,it,env,accepted,m,I_zz,mu,cost,res_ncp,res_tol,res_pass,gate,last_cand_res,m_true,I_zz_true,mu_true,rel_m,rel_I,rel_mu,theta_sha256
series_std_f32_p0,0,0,1,9.617523541318395,0.004897356657898644,0.27165973635634816,5190.848072888452,0.03371318917476311,1e-05,0,cost,0.03355449126830824,7.66193324607077,0.12488383317490416,0.43349673090252455,0.2552345775461434,0.9607847026040615,0.37332921567652333,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,1,1,10.281287855897014,0.009230965598474222,0.31797958913079566,2782.4083131073776,1.3505614648301467e-06,1e-05,1,cost,1.3468819377027152e-06,7.107985503602176,0.11549221983094739,0.5423598261986978,0.4464418717070647,0.9200728359712358,0.41371102030278084,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,2,1,2.4904854412771877,0.07913316995243352,0.4041793762695261,1664.6373939258576,1.9437589218740392e-08,1e-05,1,cost,1.7296824333934424e-08,2.4331970156836236,0.034169598356260614,0.43532943072441654,0.023544507585822678,1.3158940625339428,0.0715551310258411,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,3,1,4.2410879943826725,0.11614675446269643,0.2893692589188411,1503.4859539116624,2.234571765125093e-08,1e-05,1,cost,2.1714868791988806e-08,3.7467846984055893,0.05336747045507642,0.309522998672487,0.13192732856719244,1.1763586220648445,0.06511225285385347,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,4,1,3.050226562284628,0.16491541055890285,0.34324054559490735,1560.549331543374,2.52177134660303e-08,1e-05,1,cost,1.8331957542250255e-08,2.5205070814098667,0.03852175628215398,0.4129453129711349,0.21016385344906802,3.2810979164857916,0.16879902782938222,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,5,1,3.817783948441775,0.017153628839448883,0.34130232922826037,1617.640457332216,1.6364852251093964e-08,1e-05,1,cost,1.693270702818328e-08,4.099439817456933,0.050781524716599497,0.3158350441039742,0.06870594070335241,0.6622072902462164,0.08063476678636777,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,6,1,4.048391161042854,0.11918463362311037,0.24632293133585084,1612.6424140826687,2.3022235631775523e-08,1e-05,1,cost,1.5829401359135353e-08,3.6780588679031005,0.04318808870759348,0.25698606285261066,0.10068688578409947,1.7596644628118239,0.04149303428519177,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,7,1,2.337097257691983,0.26482105300610864,0.48526512877893924,1699.9315925037183,3.309178311927674e-08,1e-05,1,cost,1.985088288192216e-08,2.2748718879631347,0.03589734399470002,0.5904684822246389,0.02735335121863204,6.37717679183194,0.17816929542003207,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,8,1,3.9704383606856988,0.017423004160006438,0.3035380222403057,1586.7302011463744,2.55776238383687e-08,1e-05,1,cost,2.1622916429597794e-08,3.7427791582228913,0.052888921934059634,0.3046354389473463,0.0608262451079006,0.6705736565829621,0.0036023934406078403,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,9,1,4.02392969202859,0.017978344805421882,0.506868064475461,1553.7384615365256,3.412197091545721e-08,1e-05,1,cost,3.8344439373672046e-08,4.364955469123513,0.057929897248945726,0.4851151432907607,0.07812812284277464,0.6896534318339556,0.04484073829800508,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,10,1,2.817177105926606,0.0813484428027681,0.42145626126207536,1605.4553124727313,1.707717503518502e-08,1e-05,1,cost,2.360187076333453e-08,2.929401115705847,0.046731200462293905,0.42512215510687656,0.038309540191528255,0.7407736586695621,0.008623154076455017,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,11,1,2.1151532474868366,0.13070844249915628,0.3989913269166928,1504.349910247327,2.9690472615195862e-08,1e-05,1,cost,2.0853313513480298e-08,2.1409405384403595,0.03492888069643343,0.4318337315367098,0.012044842203935499,2.742130864001687,0.07605335623770065,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,12,1,4.3123585944878755,0.1502516995732403,0.2543427720963199,1610.190075182037,2.356986830015506e-08,1e-05,1,cost,2.2208024051673103e-08,3.475443148520294,0.045625172275191035,0.3009554993155038,0.24080826824167928,2.2931755011682573,0.15488245712472565,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,13,1,4.588291999727984,0.1042749783564253,0.4176334381943784,1580.347613837474,5.335244987469956e-08,1e-05,1,cost,3.3132093263388285e-08,4.383492317785077,0.0620392302928347,0.4316979388115358,0.04672066633081033,0.6807909747466462,0.03257949448606802,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,14,1,5.025685541784467,0.27879521291033105,0.5324755971689994,1683.0174411002758,2.82143500784926e-08,1e-05,1,cost,3.478719182159473e-08,4.535533312461739,0.08338125294791263,0.5857839200417314,0.10806937035959933,2.343619855226827,0.09100339058288646,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,15,1,11.15933023732487,0.031179015774295257,0.2742403380044758,4041.755747290389,1.5297716066120515e-08,1e-05,1,cost,1.4284986082913065e-08,7.585962161890749,0.1114323971417409,0.54394349399187,0.4710500789715886,0.7201979265093269,0.49582936273050693,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,16,0,5.0,0.07895028105776501,0.4,3657.764848038877,1.8862227002536258e-08,1e-05,1,cost,0.018301156811481662,5.998593002273881,0.09471812069613306,0.4953306142413841,0.16647120448000813,0.16647120448000802,0.1924585549540203,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,0,17,0,5.0,0.08404978108925076,0.4,4701.925059081783,2.4478600979538356e-08,1e-05,1,cost,0.021264849369718963,5.398943265384813,0.09075599991377564,0.57682677328866,0.07389284268694346,0.07389284268694347,0.3065509117763697,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
