direction_deg,static_lp_m_s2,tipping_m_s2,zmp_m_s2
0.0,0.9558775570547515,0.955877557054754,0.9558775570547539
29.999999999999996,1.1037523297557676,1.1037523297557679,1.103752329755768
59.99999999999999,1.6511744559666117,1.6511744559666106,1.6511744559666117
90.0,1.4299590249470355,1.4299590249470358,1.4299590249470355
119.99999999999999,1.651174455966582,1.6511744559666113,1.6511744559666115
150.0,1.230068795064992,1.230068795064945,1.2300687950649452
180.0,1.0652708249287572,1.065270824928757,1.065270824928757
210.0,1.2300687950649436,1.230068795064945,1.230068795064945
239.99999999999997,1.6828536149958604,1.6828536149958604,1.6828536149958604
270.0,1.4573939814368917,1.4573939814368917,1.457393981436892
300.0,1.6828536149958622,1.6828536149958604,1.6828536149958602
330.0,1.103752329755782,1.1037523297557685,1.1037523297557685
