scene,max_relative_residual,polygon_error_soc_pct,directions
S1,2.908209250535207e-15,0.9700556994879544,72
S2,3.0722702533668896e-15,0.9700556535897689,72
S3,1.499866223035558e-12,0.9700556931214809,72
